Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 05:06:00,691] Using an existing study with name 'SST-2-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:56,016] Trial 146 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6271186508002639, 'batch_size': 205, 'attention_heads': 12, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4523201568725973, 'global_pooling': 'max', 'learning_rate': 0.0015886096861535731, 'weight_decay': 0.0005680471842307092, 'beta_0': 0.8189821496792518, 'beta_1': 0.9966650625341859, 'epsilon': 2.616372779039178e-05, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:14:32,507] Trial 147 finished with value: 0.8704128440366973 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9487627409900454, 'batch_size': 205, 'attention_heads': 14, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45526760285059104, 'global_pooling': 'max', 'learning_rate': 0.02443343311783758, 'weight_decay': 0.0006331257016517113, 'beta_0': 0.8187332372948577, 'beta_1': 0.9965331998461598, 'epsilon': 1.508335674566849e-06, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:18:15,467] Trial 148 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.7914358616034661, 'batch_size': 213, 'attention_heads': 9, 'hidden_dimension': 69, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49980350734674306, 'global_pooling': 'max', 'learning_rate': 0.0006958422688334306, 'weight_decay': 0.00010515306630087081, 'beta_0': 0.8242469937178613, 'beta_1': 0.9959529390269953, 'epsilon': 5.114446867915204e-05, 'balanced_loss': True, 'epochs': 195, 'early_stopping_patience': 18, 'plateau_patience': 22, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:23:12,871] Trial 149 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5969097615054749, 'batch_size': 217, 'attention_heads': 13, 'hidden_dimension': 163, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44797676137361525, 'global_pooling': 'max', 'learning_rate': 0.0016258358281445076, 'weight_decay': 0.000426203155554263, 'beta_0': 0.8216939049429591, 'beta_1': 0.9948301286322669, 'epsilon': 2.4626948926280754e-05, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:28:01,609] Trial 150 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5692174251263452, 'batch_size': 170, 'attention_heads': 12, 'hidden_dimension': 136, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5335956591593302, 'global_pooling': 'max', 'learning_rate': 0.0005228194970036612, 'weight_decay': 0.0003615834799488837, 'beta_0': 0.8164992678707083, 'beta_1': 0.9966278806846594, 'epsilon': 1.423237136920222e-05, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:33:01,521] Trial 151 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6103189242570984, 'batch_size': 198, 'attention_heads': 16, 'hidden_dimension': 109, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5140712095659022, 'global_pooling': 'sum', 'learning_rate': 0.002531623763568512, 'weight_decay': 0.000525506284142784, 'beta_0': 0.8260304485979358, 'beta_1': 0.9970007273034398, 'epsilon': 2.8848529906907e-06, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:37:38,495] Trial 152 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6275178535227827, 'batch_size': 181, 'attention_heads': 12, 'hidden_dimension': 149, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4676918394907058, 'global_pooling': 'max', 'learning_rate': 0.0011025748227760262, 'weight_decay': 0.0007563083264943216, 'beta_0': 0.8116199287179493, 'beta_1': 0.9974689958626703, 'epsilon': 3.1762642363789614e-05, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:42:32,762] Trial 153 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6228096232993772, 'batch_size': 163, 'attention_heads': 12, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47421666605145474, 'global_pooling': 'max', 'learning_rate': 0.0011268982819240222, 'weight_decay': 0.0007249120702772824, 'beta_0': 0.812275740362433, 'beta_1': 0.9976853118802179, 'epsilon': 3.605841678835207e-05, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 24, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:47:22,572] Trial 154 finished with value: 0.9231651376146789 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.653932317906222, 'batch_size': 184, 'attention_heads': 13, 'hidden_dimension': 149, 'number_of_hidden_layers': 1, 'dropout_rate': 0.488761917134167, 'global_pooling': 'max', 'learning_rate': 0.0009006741157527121, 'weight_decay': 0.0005989984956953435, 'beta_0': 0.8175291643944615, 'beta_1': 0.99619717326685, 'epsilon': 1.1732722324293317e-07, 'balanced_loss': True, 'epochs': 191, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:51:44,487] Trial 155 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6307686536145511, 'batch_size': 128, 'attention_heads': 12, 'hidden_dimension': 143, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4642424115181399, 'global_pooling': 'max', 'learning_rate': 0.0032124453338543088, 'weight_decay': 0.0008894620729970734, 'beta_0': 0.8147993023249586, 'beta_1': 0.995498154000012, 'epsilon': 2.2518903451030076e-05, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 24, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 05:56:50,864] Trial 156 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6431460558750912, 'batch_size': 178, 'attention_heads': 13, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.583551279906314, 'global_pooling': 'max', 'learning_rate': 0.0018594870488451017, 'weight_decay': 1.3120716769405547e-05, 'beta_0': 0.8200906191788792, 'beta_1': 0.9972782572416456, 'epsilon': 3.027347299581728e-05, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
